,start,valley,end,days,max drawdown,99% max drawdown
40,2017-12-17,2018-12-15,2020-11-30,1079,-83.39900882218973,-82.23346005962932
0,2014-09-18,2015-01-14,2015-12-15,453,-61.05625406673369,-53.97346616200627
53,2021-04-14,2021-07-20,2021-10-19,188,-53.06185040984166,-50.51995508364602
55,2021-11-09,2022-01-22,2022-01-24,76,-48.15466261758898,-46.30974148973339
29,2017-09-02,2017-09-14,2017-10-12,40,-35.50810193918738,-26.760573783221965
22,2017-06-12,2017-07-16,2017-08-05,54,-34.76172704162836,-32.42780313226208
13,2017-01-05,2017-01-11,2017-02-23,49,-32.645983719306685,-30.301109524472004
7,2016-06-17,2016-08-02,2016-12-02,168,-28.558094302037627,-25.977543947960946
15,2017-03-04,2017-03-24,2017-04-26,53,-26.468440794667725,-24.177838023008402
45,2021-01-09,2021-01-27,2021-02-08,30,-25.40605358693273,-24.442388436516083
1,2015-12-16,2016-01-15,2016-04-26,132,-21.70330108156421,-20.495960063062913
50,2021-02-22,2021-02-28,2021-03-11,17,-21.55402775218791,-19.72802046621687
34,2017-11-09,2017-11-12,2017-11-16,7,-20.237035708523255,-14.773936348649919
19,2017-05-25,2017-05-27,2017-06-02,8,-16.56422039476082,-11.779143261829738
52,2021-03-14,2021-03-25,2021-04-13,30,-15.575514582959926,-13.8282063727857
39,2017-12-08,2017-12-09,2017-12-16,8,-15.204160640792907,-13.655530175415398
54,2021-10-21,2021-10-27,2021-11-08,18,-11.380703847706963,-8.529778859755499
26,2017-08-17,2017-08-21,2017-08-27,10,-8.565720716991832,-6.602568150392207
31,2017-10-22,2017-10-24,2017-10-29,7,-8.371907168277225,-4.655485914556268
41,2020-12-01,2020-12-11,2020-12-16,15,-7.9840249639048455,-6.933940313848142
17,2017-05-12,2017-05-12,2017-05-18,6,-6.725737173444557,-6.173420451104883
2,2016-04-27,2016-05-19,2016-05-27,30,-5.873125851677341,-5.742678292735315
33,2017-11-06,2017-11-06,2017-11-08,2,-5.192778346429916,-3.550907373686718
21,2017-06-07,2017-06-07,2017-06-10,3,-4.576698843853599,-2.011030838443817
42,2020-12-20,2020-12-21,2020-12-25,5,-4.469030190926471,-2.632973400492278
30,2017-10-15,2017-10-18,2017-10-20,5,-4.13423830489974,-3.8801169438856364
46,2021-02-10,2021-02-10,2021-02-11,1,-3.362488605290981,0.0
25,2017-08-15,2017-08-15,2017-08-16,1,-3.3108764571511795,0.0
11,2016-12-24,2016-12-25,2016-12-27,3,-2.798424391819121,-2.5121897000262017
6,2016-06-14,2016-06-14,2016-06-16,2,-2.6714363056839163,-1.4064906742309868
37,2017-11-23,2017-11-23,2017-11-24,1,-2.6022716314653915,0.0
14,2017-02-25,2017-02-25,2017-02-27,2,-2.5424380176076733,-0.7225225062188145
8,2016-12-03,2016-12-05,2016-12-12,9,-2.4736945420754664,-1.7636193912457965
44,2021-01-04,2021-01-04,2021-01-05,1,-2.471200036033472,0.0
24,2017-08-09,2017-08-09,2017-08-11,2,-2.2652436016542876,-1.1304266382373362
18,2017-05-21,2017-05-21,2017-05-22,1,-2.0880416027349247,0.0
35,2017-11-17,2017-11-17,2017-11-19,2,-2.066896793983519,-1.0358644670896644
5,2016-06-07,2016-06-09,2016-06-11,4,-1.8627315879875428,-1.5268040508522596
38,2017-11-29,2017-11-29,2017-11-30,1,-1.6919459222728528,0.0
47,2021-02-12,2021-02-13,2021-02-14,2,-1.6777867112104272,-0.8442623839676311
48,2021-02-15,2021-02-15,2021-02-16,1,-1.585126109458379,0.0
36,2017-11-21,2017-11-21,2017-11-22,1,-1.5776803805438666,0.0
12,2016-12-29,2016-12-30,2017-01-01,3,-1.5045320394834305,-1.2478509320810072
23,2017-08-06,2017-08-06,2017-08-07,1,-1.1980033802367007,0.0
49,2021-02-18,2021-02-18,2021-02-19,1,-0.8997504596578998,0.0
51,2021-03-12,2021-03-12,2021-03-13,1,-0.8183206626845796,0.0
3,2016-05-29,2016-05-29,2016-05-30,1,-0.7182489988974305,0.0
43,2020-12-27,2020-12-27,2020-12-28,1,-0.6231492085078671,0.0
4,2016-05-31,2016-05-31,2016-06-01,1,-0.4641682676280068,0.0
9,2016-12-15,2016-12-15,2016-12-16,1,-0.4341763002112309,0.0
